customer_id,age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,debt_income_ratio,join_year,join_month,join_day,join_weekday,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal,income_group,transaction_bin,kmeans_bin,annual_income_log,annual_income_sqrt,annual_income_reciprocal,annual_income_boxcox,loan_amount_yeojohnson
CUST00001,59.0,1,0.0,Salaried,0.0,0.9653306978647856,0.2610299671683043,7,196,0.17,2023-02-20,0,0.5943354896807785,2023,2,20,0,0,0,1,0,0,0,0,1,0,Low Income,Q2,2,13.304700667407849,774.6021172188983,1.666640444857001e-06,498.4754052077574,0.3790602237096698
CUST00002,49.0,1,0.0,Salaried,0.3085276857408352,0.9512153631704046,0.0,7,15,0.89,2021-08-10,0,0.8428504622851958,2021,8,10,1,0,0,0,1,0,1,0,0,0,Low Income,Q1,0,13.525803342961536,865.1483572197315,1.3360362593827822e-06,544.5598944444623,1.4402308739626442
CUST00003,35.0,0,0.0,Self-Employed,-0.5665799234390932,-0.5610826596186089,0.6034678445709097,10,362,0.41,2021-10-15,0,0.27738382902870595,2021,10,15,4,1,0,0,0,0,0,1,0,0,Low Income,Q3,1,12.688184486125419,569.119653500035,3.087389993978972e-06,389.46617217127215,-1.4133708344399651
CUST00004,63.0,1,0.0,Salaried,0.0,0.5823535869654713,0.8129356061512185,0,359,0.82,2022-08-06,0,0.6561566867292734,2022,8,6,5,0,1,0,0,0,1,0,0,0,Low Income,Q3,1,13.304700667407849,774.6021172188983,1.666640444857001e-06,498.4754052077574,0.5471686832995631
CUST00005,42.32736842105263,1,0.0,Salaried,-0.5612521532671251,0.7325034360134883,0.38527228901317173,1,119,0.46,2018-06-29,1,0.8714156473812084,2018,6,29,4,0,1,0,0,1,0,0,0,0,Low Income,Q1,0,13.069874020650854,688.7896703638927,2.1077826903868942e-06,453.7738532619884,0.6325725348029693
CUST00006,41.0,1,0.0,Unemployed,-0.2899676834443822,-0.7703185040974874,-0.5679156141566349,4,492,0.47,2020-03-07,0,0.1048633085799998,2020,3,7,5,0,1,0,0,0,0,1,0,0,Low Income,Q4,3,13.074877981654252,690.5151699999067,2.097261773083826e-06,454.6834917863113,-1.9346653193275656
CUST00007,59.0,0,3.0,Salaried,-0.8823586944862231,0.46629313398591127,0.06335493242175584,8,416,0.64,2022-01-07,0,0.9563205666883859,2022,1,7,4,0,1,0,0,0,0,1,0,0,Low Income,Q4,3,12.876396980021356,625.2785379332958,2.5577131997823385e-06,419.9566281110771,0.45870810287462344
CUST00008,39.0,1,2.0,Salaried,-0.8790295349758829,0.4192601171087702,-0.22699786528076302,9,147,0.76,2023-07-18,1,3.5593103474512047,2023,7,18,1,0,0,1,0,1,0,0,0,0,Low Income,Q2,2,11.766050331196679,358.89191966384533,7.763709332623006e-06,269.0508310314368,0.8184111055787757
CUST00009,43.0,1,0.0,Self-Employed,0.3188963462525192,0.8556498626043886,-0.40763762457835523,10,60,0.13,2024-10-24,0,0.617586886119183,2024,10,24,3,0,0,1,0,0,0,0,0,1,Low Income,Q1,0,13.395940739455812,810.7579971853501,1.5213069767305295e-06,517.0024785857897,0.6005411296670071
CUST00010,31.0,0,1.0,Self-Employed,0.9819795093101499,-0.02252432973296003,-0.18764034178469793,11,412,0.6,2020-06-05,0,0.2770883615173268,2020,6,5,4,0,1,0,0,0,0,1,0,0,Medium Income,Q4,3,13.843289067687232,1013.9856655791541,9.726037652234494e-07,618.2452259186275,0.02012349823854733
CUST00011,42.32736842105263,0,3.0,Salaried,-0.06188587145281718,0.36190588790284445,-0.9301581947259182,10,60,0.26,2024-10-04,0,0.6160574090973026,2024,10,4,4,0,1,0,0,0,1,0,0,0,Low Income,Q1,0,13.278229505009328,764.4173402010188,1.711347467591657e-06,493.2249226601226,0.39480272608995987
CUST00012,44.0,1,3.0,Salaried,-0.687308922489336,0.07712128565541872,-0.722259477172438,6,485,0.39,2021-04-04,0,2.4069245633294205,2021,4,4,6,0,1,0,0,0,0,0,1,0,Low Income,Q4,3,11.830237380829391,370.5969373861581,7.281036126389759e-06,276.0777515840545,0.25445340803458744
CUST00013,42.32736842105263,1,0.0,Salaried,0.4738859878792318,-0.795039909898298,-0.3786074644808667,9,96,0.4,2022-08-03,0,0.06288630269667786,2022,8,3,2,0,0,1,0,0,1,0,0,0,Low Income,Q1,0,13.586206444294003,891.6757818848732,1.25772447206072e-06,557.8711609346741,-1.9346653193275656
CUST00014,60.0,1,3.0,Salaried,-0.9784655628778072,0.1388074946253035,0.15276655948885665,4,77,0.5,2022-02-28,0,1.7275376482516813,2022,2,28,0,0,1,0,0,0,0,0,0,1,Low Income,Q1,0,12.17458971834693,440.2277819492995,5.159918782878357e-06,316.999696080907,0.27508385142912106
CUST00015,44.0,0,0.0,Salaried,-0.6656924374833407,-0.17332745582907957,-0.7258175884706204,0,93,0.38,2024-11-20,1,0.7856728355546121,2024,11,20,2,0,1,0,0,0,0,0,1,0,Low Income,Q1,0,12.603983962122683,545.6568518767083,3.3586079779030463e-06,376.5478555869509,-0.27088530720375165
CUST00016,23.0,1,2.0,Salaried,-0.34551157233652896,-0.9326859056055741,0.10353141970556286,5,476,0.19,2024-08-29,1,0.3203683514161494,2024,8,29,3,0,0,0,1,0,1,0,0,0,Low Income,Q4,3,13.200095343523635,735.1295532081402,1.8504247631539574e-06,478.04595675507693,-0.6755214350513485
CUST00017,42.0,1,2.0,Unemployed,0.03872935297623692,0.7759388418584773,0.6296180992580875,11,51,0.22,2024-06-19,0,1.1848449700073342,2024,6,19,2,0,0,0,1,0,1,0,0,0,Low Income,Q1,0,13.354604396977873,794.1730667807867,1.5855100615992856e-06,508.52538080009026,1.8018438460981367
CUST00018,22.0,0,3.0,Salaried,-0.5150171388890672,0.6439850234686535,0.5657213414735184,7,228,0.13,2020-02-10,0,1.5106942679554038,2020,2,10,0,0,1,0,0,1,0,0,0,0,Low Income,Q2,2,12.759483508386646,589.7745331904388,2.8749263300127934e-06,400.7487387070135,1.0750526588090694
CUST00019,44.0,0,3.0,Salaried,-0.1339891477901945,-0.5202242669104415,0.8434533895787905,6,66,0.5,2021-07-02,1,0.17519146844639086,2021,7,2,4,1,0,0,0,0,0,0,0,1,Low Income,Q1,0,13.181899388075077,728.4716809869825,1.8844032073371727e-06,474.5783147224592,-1.379251606781221
CUST00020,64.0,1,1.0,Salaried,0.7684671492756626,0.4080121738466197,0.4929343835411486,1,235,0.91,2020-08-16,0,0.46532985888632966,2020,8,16,6,0,1,0,0,1,0,0,0,0,Low Income,Q2,2,13.565498766597669,882.491133099931,1.2840405571914233e-06,553.2716360843934,0.4059876086806147
CUST00021,50.0,0,3.0,Self-Employed,0.5037804545940007,0.8638317275772301,0.0,11,205,0.2,2020-07-05,0,0.6917756627212339,2020,7,5,6,0,0,0,1,0,0,0,1,0,Low Income,Q2,2,13.608542623111116,901.6899245306005,1.2299431328412871e-06,562.8750848780375,1.2079704241424747
CUST00022,58.0,1,1.0,Salaried,0.0,-1.0,0.0,4,257,0.9,2023-09-02,0,0.08333216112760014,2023,9,2,5,1,0,0,0,1,0,0,0,0,Low Income,Q2,1,13.304700667407849,774.6021172188983,1.666640444857001e-06,498.4754052077574,-1.9346653193275656
CUST00023,22.0,0,2.0,Salaried,0.9522817905120996,0.05850002515317212,-0.2995615771692827,10,175,0.72,2022-11-17,1,0.2913218660974651,2022,11,17,3,1,0,0,0,0,0,0,0,1,Medium Income,Q2,2,13.890020133750175,1037.9569644257897,9.281985857854963e-07,629.8987479628267,0.17119563259216516
CUST00024,41.0,1,2.0,Self-Employed,0.30852483159362676,0.062142088571484275,-0.9491842756378226,3,71,0.64,2018-12-05,0,0.4016750209941819,2018,12,5,2,0,1,0,0,0,0,1,0,0,Low Income,Q1,0,13.595453899789199,895.8081993373359,1.2461473330210239e-06,559.9374529589725,0.2137513706471883
CUST00025,53.0,1,0.0,Salaried,-0.12277621750423175,-0.6784255719799509,0.7243374515369406,8,272,0.65,2022-02-25,0,0.1293316737016093,2022,2,25,4,0,0,0,1,0,0,1,0,0,Low Income,Q3,1,13.210038795536496,738.7935232526067,1.8321163286873123e-06,479.9515396482535,-1.6419163346470491
CUST00026,32.0,0,2.0,Salaried,0.9018232258940392,0.4321051599299282,0.0,9,121,0.8,2024-08-10,0,0.45202036085018876,2024,8,10,5,0,0,0,1,0,0,0,1,0,Low Income,Q1,0,13.610734106520594,902.6784865055774,1.2272506841769159e-06,563.3684385749112,0.43327314157325086
CUST00027,42.0,1,1.0,Salaried,0.38212754008522243,0.9241095947496794,0.0,0,262,0.19,2021-10-27,1,0.6989521223070198,2021,10,27,2,1,0,0,0,0,0,1,0,0,Low Income,Q3,1,13.482384799633204,846.5689930537263,1.3953227608983568e-06,535.1873482258223,0.9835605045200738
CUST00028,64.0,1,3.0,Salaried,0.31542486243416085,0.9405737273890663,-0.12581025198221843,11,208,0.53,2020-07-03,0,0.7864782085191334,2020,7,3,4,0,1,0,0,1,0,0,0,0,Low Income,Q2,2,13.49612140697696,852.4035077356264,1.3762868040767927e-06,538.1351054602251,1.2395094564940234
CUST00029,45.0,1,0.0,Salaried,0.23223870335225613,-0.26249448792427993,-0.9365691797590998,5,187,0.69,2023-01-28,0,0.3959531259045604,2023,1,28,5,0,0,1,0,0,0,0,1,0,Low Income,Q2,2,13.375928581898092,802.6859286171647,1.5520582853760258e-06,512.881045593575,-0.14553681471772711
CUST00030,47.0,0,1.0,Salaried,-0.34071855235442566,0.9251957452308479,0.16710386317569234,2,445,0.6,2019-04-20,0,2.016998387064992,2019,4,20,5,0,0,1,0,0,0,0,0,1,Low Income,Q4,3,12.826615449892307,609.9069355237732,2.6882625912103976e-06,411.66856414281887,1.8106845812824062
CUST00031,62.0,1,3.0,Salaried,-0.4995260632668286,-0.6360507289497395,0.5881438449220137,10,35,0.81,2021-12-17,0,0.14578283780288934,2021,12,17,4,0,0,0,1,0,0,0,1,0,Low Income,Q1,0,12.745418376941394,585.641443205653,2.915648255028254e-06,398.49760897567717,-1.9346653193275656
CUST00032,48.0,0,0.0,Salaried,-0.05475674645409792,0.21925655032767427,-0.9741294902918038,8,419,0.16,2021-10-11,0,0.6324580097858258,2021,10,11,0,0,0,1,0,0,0,0,1,0,Low Income,Q4,3,13.26337922895886,758.7624463559065,1.7369510898021952e-06,490.30354186188987,0.41395826802029567
CUST00033,36.0,1,2.0,Self-Employed,0.10612868397121679,-0.9332303512014687,0.3432459963858594,4,255,0.69,2022-01-23,1,0.078464909990077,2022,1,23,6,0,0,0,1,0,1,0,0,0,Low Income,Q2,2,13.364883614334047,798.265319301797,1.5692957371085651e-06,510.6203927373216,-1.9346653193275656
CUST00034,35.0,1,1.0,Unemployed,-0.9340977013127079,0.17890865306448328,-0.30895497772485786,5,28,0.55,2023-09-06,0,0.7351863093245249,2023,9,6,2,0,0,0,1,0,1,0,0,0,Low Income,Q1,0,12.971867806188216,655.8504173971379,2.3248203140567215e-06,436.31830872086766,0.18319570136062846
CUST00035,64.0,1,3.0,Self-Employed,0.6484746464919299,-0.713073276245295,0.2664716411965215,10,274,0.42,2020-03-11,0,0.2919331528654078,2020,3,11,2,0,0,0,1,0,0,0,1,0,Low Income,Q3,1,13.467138889085254,840.1401609255446,1.4167587170224085e-06,531.9345215713373,-0.4470610737258929
CUST00036,23.0,1,0.0,Self-Employed,0.9405420059101174,0.24211398959687247,0.23824682822664897,8,326,0.39,2021-05-31,0,0.34925987832008865,2021,5,31,0,0,0,1,0,0,0,1,0,0,Medium Income,Q3,1,13.929011085648387,1058.3909863561764,8.927037253454871e-07,639.789332177551,0.536326199193568
CUST00037,57.0,0,0.0,Salaried,-0.9960103037108748,-0.046296432173875,-0.07628967996879116,8,29,0.63,2020-05-13,0,1.6908614050058892,2020,5,13,2,0,0,0,1,0,1,0,0,0,Low Income,Q1,0,12.007123533958358,404.86703990322553,6.100599371687069e-06,296.39775678583015,-0.021808933389692257
CUST00038,27.0,1,2.0,Unemployed,0.606845114164357,-0.7935857260890661,-0.04427982342487724,7,115,0.86,2021-03-17,0,0.20296505000153442,2021,3,17,2,1,0,0,0,0,0,0,0,1,Low Income,Q1,0,13.521893736341886,863.4588119881573,1.3412698595792393e-06,543.7092959940568,-0.8421987237308536
CUST00039,41.0,1,3.0,Salaried,-0.0919585287863618,-0.9716347668627084,-0.21787498435363783,8,246,0.52,2020-01-09,0,0.2795987272391933,2020,1,9,3,0,1,0,0,1,0,0,0,0,Low Income,Q2,2,13.276812309892698,763.8758668789059,1.7137745002487887e-06,492.94538288441316,-0.7500989738110173
CUST00040,29.0,1,2.0,Salaried,0.2014219821588946,0.8594834108242349,0.46980575945929154,3,315,0.8,2021-10-06,1,0.9090438270977921,2021,10,6,2,0,1,0,0,0,1,0,0,0,Low Income,Q3,1,13.476766588911813,844.1942252823103,1.403184040678642e-06,533.9863646418827,1.495433682010312
CUST00041,59.0,0,2.0,Unemployed,-0.5329927291694277,0.5864766649433737,0.6098884095713105,5,473,0.44,2024-09-28,0,0.7715170043824224,2024,9,28,5,0,0,0,1,0,0,0,1,0,Low Income,Q4,3,13.106888902926956,701.6561266033384,2.0311896482775755e-06,460.5456152367563,0.4855347276654854
CUST00042,38.0,1,3.0,Self-Employed,-0.1083508488779906,-0.9709183503686207,0.21348922798327602,4,255,0.19,2020-09-08,0,0.0887335019352688,2020,9,8,1,0,1,0,0,0,0,1,0,0,Low Income,Q2,2,13.241897820672843,750.6563994265285,1.774666889257219e-06,486.1081055339881,-1.9346653193275656
