customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST00001,59.0,Male,South,Primary,Salaried,,356606.31,Home,683.0,7,196,0.17,2023-02-20,0
CUST00002,49.0,Male,West,Primary,Salaried,748481.68,630858.13,Car,,7,15,0.89,2021-08-10,0
CUST00003,35.0,Female,East,Primary,Self-Employed,323897.18,89843.84,Education,778.0,10,362,0.41,2021-10-15,0
CUST00004,63.0,Male,North,Primary,Salaried,,393699.55,Car,742.0,0,359,0.82,2022-08-06,0
CUST00005,,Male,North,Primary,Salaried,474431.21,413426.78,Business,705.0,1,119,0.46,2018-06-29,1
CUST00006,41.0,Male,North,Primary,Unemployed,476811.2,50000.0,Education,590.0,4,492,0.47,2020-03-07,0
CUST00007,59.0,Female,North,Post-Graduate,Salaried,390973.25,373895.76,Education,680.0,8,416,0.64,2022-01-07,0
CUST00008,39.0,Male,South,Graduate,Salaried,128803.41,458451.31,Business,632.0,9,147,0.76,2023-07-18,1
CUST00009,43.0,Male,South,Primary,Self-Employed,657328.53,405957.48,Personal,649.0,10,60,0.13,2024-10-24,0
CUST00010,31.0,Female,North,Secondary,Self-Employed,1028166.93,284893.09,Education,646.0,11,412,0.6,2020-06-05,0
CUST00011,,Female,North,Post-Graduate,Salaried,584333.87,359983.21,Car,592.0,10,60,0.26,2024-10-04,0
CUST00012,44.0,Male,North,Post-Graduate,Salaried,137342.09,330572.05,Home,504.0,6,485,0.39,2021-04-04,0
CUST00013,,Male,South,Primary,Salaried,795085.7,50000.0,Car,620.0,9,96,0.4,2022-08-03,0
CUST00014,60.0,Male,North,Post-Graduate,Salaried,193800.5,334797.66,Personal,697.0,4,77,0.5,2022-02-28,0
CUST00015,44.0,Female,North,Primary,Salaried,297741.4,233927.33,Home,559.0,0,93,0.38,2024-11-20,1
CUST00016,23.0,Male,West,Graduate,Salaried,540415.46,173132.01,Car,681.0,5,476,0.19,2024-08-29,1
CUST00017,42.0,Male,West,Graduate,Unemployed,630710.86,747294.59,Car,850.0,11,51,0.22,2024-06-19,0
CUST00018,22.0,Female,North,Post-Graduate,Salaried,347834.0,525470.83,Business,772.0,7,228,0.13,2020-02-10,0
CUST00019,44.0,Female,East,Post-Graduate,Salaried,530670.99,92969.03,Personal,828.0,6,66,0.5,2021-07-02,1
CUST00020,64.0,Male,North,Secondary,Salaried,778790.6,362394.52,Business,715.0,1,235,0.91,2020-08-16,0
CUST00021,50.0,Female,West,Post-Graduate,Self-Employed,813044.72,562444.55,Home,,11,205,0.2,2020-07-05,0
CUST00022,58.0,Male,East,Secondary,Salaried,,50000.0,Business,,4,257,0.9,2023-09-02,0
CUST00023,22.0,Female,East,Graduate,Salaried,1077354.66,313856.97,Personal,622.0,10,175,0.72,2022-11-17,1
CUST00024,41.0,Male,North,Graduate,Self-Employed,802472.33,322333.09,Education,433.0,3,71,0.64,2018-12-05,0
CUST00025,53.0,Male,West,Primary,,545815.87,70591.28,Education,787.0,8,272,0.65,2022-02-25,0
CUST00026,32.0,Female,West,Graduate,Salaried,814828.45,368319.05,Home,,9,121,0.8,2024-08-10,0
